time,T,U,Ff,VV,Td,RRR
31.01.2015 23:00,6.7,64,2,13.0,0.2,0
31.01.2015 20:00,7.0,65,1,10.0,0.7,0
31.01.2015 17:00,7.2,66,1,13.0,1.3,0
31.01.2015 14:00,7.2,61,1,12.0,0.0,0
31.01.2015 11:00,7.0,61,1,13.0,-0.2,0
31.01.2015 08:00,6.0,65,1,13.0,-0.1,0
31.01.2015 05:00,5.8,71,1,9.0,0.8,0
31.01.2015 02:00,5.9,70,1,8.0,0.7,0
30.01.2015 23:00,6.1,69,2,8.0,0.8,0
30.01.2015 20:00,6.8,69,1,9.0,1.5,0
30.01.2015 17:00,7.0,78,1,9.0,3.4,0
30.01.2015 14:00,6.9,83,1,10.0,4.2,0
30.01.2015 11:00,6.5,90,0,3.7,5.0,0
30.01.2015 08:00,5.6,98,0,2.3,5.3,3
30.01.2015 02:00,5.2,97,2,1.7,4.8,1
29.01.2015 23:00,5.1,97,1,2.2,4.7,0
29.01.2015 20:00,5.1,96,2,1.2,4.5,0.7
29.01.2015 17:00,5.5,90,2,4.6,4.0,0
29.01.2015 14:00,5.9,84,2,9.0,3.4,0.4
29.01.2015 11:00,5.5,90,3,10.0,4.0,0
29.01.2015 08:00,6.0,95,3,4.6,5.3,2
29.01.2015 05:00,7.0,95,1,3.2,6.3,0
29.01.2015 02:00,7.4,94,1,3.0,6.5,0.5
28.01.2015 23:00,8.4,89,1,3.8,6.7,0
28.01.2015 20:00,9.8,74,2,14.0,5.4,0
28.01.2015 17:00,10.2,75,2,14.0,6.0,0
28.01.2015 14:00,10.6,75,1,12.0,6.4,0
28.01.2015 11:00,10.0,79,1,12.0,6.5,0
28.01.2015 08:00,9.4,84,1,12.0,6.8,0.4
28.01.2015 05:00,9.1,94,0,4.7,8.2,0
28.01.2015 02:00,9.9,95,1,3.8,9.1,1
27.01.2015 23:00,10.8,95,2,3.8,10.0,0
27.01.2015 20:00,11.4,98,1,1.7,11.1,1
27.01.2015 17:00,11.4,98,2,0.2,11.1,0
27.01.2015 14:00,11.5,97,1,0.2,11.0,0.8
27.01.2015 11:00,11.8,97,0,0.5,11.3,0
27.01.2015 08:00,11.5,97,0,0.3,11.0,0
27.01.2015 05:00,11.8,93,1,0.7,10.7,0
27.01.2015 02:00,12.5,88,1,1.5,10.6,0
26.01.2015 23:00,12.7,86,1,1.4,10.4,0
26.01.2015 20:00,12.8,84,0,1.5,10.2,0
26.01.2015 17:00,13.2,80,0,1.3,9.8,0
26.01.2015 14:00,13.1,80,0,1.6,9.7,0
26.01.2015 11:00,12.3,85,1,1.3,9.9,0
26.01.2015 08:00,11.7,87,1,1.3,9.6,0
26.01.2015 05:00,11.9,85,1,1.4,9.5,0
26.01.2015 02:00,12.0,83,1,1.5,9.2,0
25.01.2015 23:00,12.0,80,1,1.7,8.7,0
25.01.2015 20:00,12.4,79,1,1.5,8.9,0
25.01.2015 17:00,14.6,70,1,1.6,9.2,0
25.01.2015 14:00,13.7,75,1,1.6,9.4,0
25.01.2015 11:00,11.7,86,1,1.4,9.4,0
25.01.2015 08:00,11.0,88,1,1.4,9.1,0
25.01.2015 05:00,11.1,86,1,1.6,8.8,0
25.01.2015 02:00,11.2,87,2,1.4,9.1,0
24.01.2015 23:00,11.7,82,1,1.7,8.7,0
24.01.2015 20:00,12.7,74,0,2.0,8.2,0
24.01.2015 17:00,13.3,72,1,2.3,8.4,0
24.01.2015 14:00,13.2,73,1,2.1,8.5,0
24.01.2015 11:00,13.0,73,0,2.1,8.3,0
24.01.2015 08:00,12.8,73,1,2.8,8.1,0
24.01.2015 05:00,13.4,64,1,4.7,6.7,0
24.01.2015 02:00,13.8,62,1,4.9,6.7,0
23.01.2015 23:00,13.9,61,2,5.4,6.5,0
23.01.2015 20:00,14.9,57,2,6.0,6.5,0
23.01.2015 17:00,16.9,52,1,4.0,7.0,0
23.01.2015 14:00,15.3,63,2,2.4,8.3,0
23.01.2015 11:00,13.2,70,1,2.4,7.9,0
23.01.2015 08:00,11.1,83,1,2.5,8.3,0
23.01.2015 05:00,11.5,80,0,2.5,8.2,0
23.01.2015 02:00,12.1,73,0,3.0,7.4,0
22.01.2015 23:00,11.9,73,1,2.8,7.2,0
22.01.2015 20:00,13.5,61,1,3.3,6.1,0
22.01.2015 17:00,17.1,44,1,6.0,4.8,0
22.01.2015 14:00,16.3,45,1,4.7,4.4,0
22.01.2015 11:00,12.1,67,0,3.5,6.2,0
22.01.2015 08:00,6.6,92,2,2.5,5.4,0
22.01.2015 05:00,7.1,90,1,2.5,5.6,0
22.01.2015 02:00,8.4,84,2,2.9,5.9,0
21.01.2015 23:00,10.4,69,1,3.7,5.0,0
21.01.2015 20:00,12.5,57,1,4.6,4.2,0
21.01.2015 17:00,16.9,41,1,7.0,3.6,0
21.01.2015 14:00,16.5,51,1,3.1,6.3,0
21.01.2015 11:00,11.4,76,1,1.8,7.3,0
21.01.2015 08:00,7.1,94,2,1.4,6.2,0
21.01.2015 05:00,8.4,89,1,2.1,6.7,0
21.01.2015 02:00,9.3,85,1,1.9,6.9,0
20.01.2015 23:00,10.4,79,1,1.8,6.9,0
20.01.2015 20:00,11.5,73,2,2.0,6.8,0
20.01.2015 17:00,14.7,56,2,2.6,6.0,0
20.01.2015 14:00,14.6,60,1,2.0,6.9,0
20.01.2015 11:00,11.9,78,1,2.2,8.2,0
20.01.2015 08:00,8.2,90,1,2.0,6.7,0
20.01.2015 05:00,8.2,94,0,1.4,7.3,0
20.01.2015 02:00,9.3,87,1,1.9,7.3,0
19.01.2015 23:00,10.7,77,0,2.4,6.8,0
19.01.2015 20:00,10.9,77,1,2.5,7.0,0
19.01.2015 17:00,11.5,75,1,2.5,7.2,0
19.01.2015 14:00,10.5,81,2,2.3,7.4,0
19.01.2015 11:00,9.7,86,2,2.1,7.5,0
19.01.2015 08:00,9.0,92,2,1.7,7.8,0
19.01.2015 05:00,9.4,89,1,2.0,7.7,0
19.01.2015 02:00,9.8,86,1,2.1,7.6,0
18.01.2015 23:00,10.8,79,1,1.9,7.3,0
18.01.2015 20:00,11.3,77,2,2.7,7.4,0
18.01.2015 17:00,13.0,64,2,4.0,6.4,0
18.01.2015 14:00,13.0,66,2,2.5,6.8,0
18.01.2015 11:00,11.2,76,2,2.5,7.1,0
18.01.2015 08:00,9.0,87,1,2.3,7.0,0
18.01.2015 05:00,9.5,86,1,1.9,7.3,0
18.01.2015 02:00,10.5,75,2,2.4,6.3,0
17.01.2015 23:00,10.9,72,2,2.4,6.1,0
17.01.2015 20:00,11.3,71,2,2.4,6.2,0
17.01.2015 17:00,11.3,76,2,2.0,7.2,0
17.01.2015 14:00,11.2,76,1,1.8,7.1,0
17.01.2015 11:00,10.7,81,1,1.7,7.6,0
17.01.2015 08:00,9.8,84,0,1.9,7.2,0
17.01.2015 05:00,10.0,82,1,1.9,7.1,0
17.01.2015 02:00,10.1,82,1,2.0,7.2,0
16.01.2015 23:00,10.5,78,1,2.0,6.8,0
16.01.2015 20:00,11.0,78,2,1.7,7.3,0
16.01.2015 17:00,12.2,71,0,1.9,7.1,0
16.01.2015 14:00,12.6,68,0,2.1,6.9,0
16.01.2015 11:00,11.3,75,1,1.6,7.0,0
16.01.2015 08:00,9.9,83,2,1.6,7.2,0
16.01.2015 05:00,9.9,76,0,2.4,5.9,0
16.01.2015 02:00,9.9,80,1,1.9,6.6,0
15.01.2015 23:00,10.6,75,1,2.1,6.4,0
15.01.2015 20:00,11.0,73,1,2.1,6.2,0
15.01.2015 17:00,11.4,66,1,3.0,5.3,0
15.01.2015 14:00,12.0,67,1,2.9,6.1,0
15.01.2015 11:00,9.9,77,1,2.4,6.1,0
15.01.2015 08:00,8.7,89,2,1.9,7.0,0
15.01.2015 05:00,8.9,89,1,1.6,7.2,0
15.01.2015 02:00,9.3,86,1,1.6,7.1,0
14.01.2015 23:00,9.9,83,1,1.5,7.2,0
14.01.2015 20:00,10.3,78,1,1.7,6.6,0
14.01.2015 17:00,11.0,77,1,1.8,7.1,0
14.01.2015 14:00,11.4,71,0,2.0,6.3,0
14.01.2015 11:00,10.1,78,0,2.8,6.4,0
14.01.2015 08:00,9.0,81,1,3.7,5.9,0
14.01.2015 05:00,8.6,79,1,4.2,5.2,0
14.01.2015 02:00,8.5,74,1,4.4,4.1,0
13.01.2015 23:00,9.2,70,3,4.7,4.0,0
13.01.2015 20:00,11.2,55,2,6.3,2.5,0
13.01.2015 17:00,15.7,34,1,8.0,-0.1,0
13.01.2015 14:00,14.9,40,2,5.1,1.4,0
13.01.2015 11:00,8.8,84,1,2.2,6.2,0
13.01.2015 08:00,5.5,96,2,0.6,4.9,0
13.01.2015 05:00,6.4,94,1,1.8,5.5,0
